Study,Ground truth,Decision,Number,Type,Training
Bunch (2003),Different Source,Inconclusive,172,Observed,US/CA
Bunch (2003),Different Source,Elimination,118,Observed,US/CA
Keisler (2018),Same Source,Elimination,0,Expected,US/CA
Keisler (2018),Same Source,Identification,1,Expected,US/CA
Keisler (2018),Same Source,Inconclusive,0.6,Expected,US/CA
Keisler (2018),Different Source,Inconclusive,0.4,Expected,US/CA
Duez (2018),Same Source,Elimination,0,Expected,US/CA
Duez (2018),Same Source,Identification,1,Expected,US/CA
Duez (2018),Same Source,Inconclusive,0.75,Expected,US/CA
Duez (2018),Different Source,Inconclusive,0.25,Expected,US/CA
Baldwin (2014),Same Source,Elimination,0,Expected,US/CA
Baldwin (2014),Same Source,Identification,1,Expected,US/CA
Baldwin (2014),Same Source,Inconclusive,0.333333333,Expected,US/CA
Baldwin (2014),Different Source,Inconclusive,0.666666667,Expected,US/CA
Lyons (2009),Same Source,Elimination,0,Expected,US/CA
Lyons (2009),Same Source,Identification,1,Expected,US/CA
Hamby (2019),Same Source,Elimination,0,Expected,US/CA
Hamby (2019),Same Source,Identification,1,Expected,US/CA
Bunch (2003),Same Source,Identification,1,Expected,US/CA
Bunch (2003),Same Source,Elimination,0,Expected,US/CA
Bunch (2003),Same Source,Inconclusive,0.2414,Expected,US/CA
Bunch (2003),Different Source,Inconclusive,0.7586,Expected,US/CA
VCMER (2020),Same Source,Identification,453,Observed,US/CA
VCMER (2020),Same Source,Inconclusive,38,Observed,US/CA
VCMER (2020),Same Source,Elimination,0,Observed,US/CA
VCMER (2020),Different Source,Identification,3,Observed,US/CA
VCMER (2020),Different Source,Inconclusive,254,Observed,US/CA
VCMER (2020),Different Source,Elimination,436,Observed,US/CA
VCMER (2020),Same Source,Elimination,0,Expected,US/CA
VCMER (2020),Same Source,Identification,1,Expected,US/CA
VCMER (2020),Same Source,Inconclusive,0.4147,Expected,US/CA
VCMER (2020),Different Source,Inconclusive,0.5853,Expected,US/CA
VCMER (2020),Different Source,Elimination,0,Expected,US/CA
VCMER (2020),Different Source,Identification,1,Expected,US/CA
Mattijssen (2020),Same Source,Identification,2365,Observed,EU
Mattijssen (2020),Same Source,Inconclusive,487,Observed,EU
Mattijssen (2020),Same Source,Elimination,95,Observed,EU
Mattijssen (2020),Different Source,Identification,74,Observed,EU
Mattijssen (2020),Different Source,Inconclusive,815,Observed,EU
Mattijssen (2020),Different Source,Elimination,784,Observed,EU
Mattijssen (2020),Same Source,Elimination,0,Expected,EU
Mattijssen (2020),Same Source,Identification,1,Expected,EU
Mattijssen (2020),Same Source,Inconclusive,0.6379,Expected,EU
Mattijssen (2020),Different Source,Inconclusive,0.3621,Expected,EU
Mattijssen (2020),Different Source,Elimination,0,Expected,EU
Mattijssen (2020),Different Source,Identification,1,Expected,EU
FAID09 (2013) Bull.,Same Source,Identification,83,Observed,EU
FAID09 (2013) Bull.,Same Source,Inconclusive,99,Observed,EU
FAID09 (2013) Bull.,Same Source,Elimination,6,Observed,EU
FAID09 (2013) Bull.,Different Source,Identification,5,Observed,EU
FAID09 (2013) Bull.,Different Source,Inconclusive,47,Observed,EU
FAID09 (2013) Bull.,Different Source,Elimination,72,Observed,EU
FAID09 (2013) Cartr.,Same Source,Identification,98,Observed,EU
FAID09 (2013) Cartr.,Same Source,Inconclusive,22,Observed,EU
FAID09 (2013) Cartr.,Same Source,Elimination,7,Observed,EU
FAID09 (2013) Cartr.,Different Source,Identification,15,Observed,EU
FAID09 (2013) Cartr.,Different Source,Inconclusive,55,Observed,EU
FAID09 (2013) Cartr.,Different Source,Elimination,119,Observed,EU
FAID09 (2013) Bull.,Same Source,Elimination,0,Expected,EU
FAID09 (2013) Bull.,Same Source,Identification,1,Expected,EU
FAID09 (2013) Bull.,Same Source,Inconclusive,0.6026,Expected,EU
FAID09 (2013) Bull.,Different Source,Inconclusive,0.3974,Expected,EU
FAID09 (2013) Bull.,Different Source,Elimination,0,Expected,EU
FAID09 (2013) Bull.,Different Source,Identification,1,Expected,EU
FAID09 (2013) Cartr.,Same Source,Elimination,0,Expected,EU
FAID09 (2013) Cartr.,Same Source,Identification,1,Expected,EU
FAID09 (2013) Cartr.,Same Source,Inconclusive,0.4019,Expected,EU
FAID09 (2013) Cartr.,Different Source,Inconclusive,0.5981,Expected,EU
FAID09 (2013) Cartr.,Different Source,Elimination,0,Expected,EU
FAID09 (2013) Cartr.,Different Source,Identification,1,Expected,EU
